Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;82013.761;1152.34;7630.806;68373.763;28.418;1487.98;856.95;
1;80282.934;1047.65;7630.806;66667.822;83.947;1430.46;753.00;
2;79300.715;1001.38;7630.806;65686.769;89.837;1423.52;708.52;
3;79090.685;971.90;7630.806;65438.843;49.432;1529.16;669.75;
4;79144.980;957.38;7630.806;65564.781;129.874;1423.78;659.39;
5;79786.217;972.04;7630.806;66276.465;199.125;1536.27;662.71;
6;81670.651;1057.44;21076.149;54687.481;166.425;1596.61;734.42;
7;83793.017;1111.12;21076.149;56687.083;56.628;1847.05;779.63;
8;86615.114;1284.34;17648.308;63137.608;223.709;1862.97;924.03;
9;88530.457;1446.27;17648.308;64958.528;138.810;1865.97;988.62;
10;89133.073;1487.88;17648.308;65526.844;117.796;1863.54;989.63;
11;89062.316;1486.31;17648.308;65435.287;112.538;1861.18;988.17;
12;88708.256;1469.25;17648.308;65062.879;119.885;1859.28;980.82;
13;88540.441;1428.75;17648.308;64898.558;116.715;1853.31;989.48;
14;88236.871;1412.66;17648.308;64599.693;130.910;1686.57;990.66;
15;87946.854;1378.59;17648.308;64304.065;120.607;1645.41;988.48;
16;87889.123;1367.67;17648.308;64245.220;85.921;1640.72;990.97;
17;88021.190;1372.42;17648.308;64423.881;78.493;1637.32;996.40;
18;88695.782;1384.64;17648.308;65102.663;58.970;1640.45;1024.62;
19;89723.089;1471.73;33360.489;50539.367;134.613;1785.05;1084.86;
20;90154.485;1551.18;33360.489;51028.740;129.304;2030.39;1071.67;
21;88362.436;1484.19;33360.489;49322.501;225.488;1914.53;991.09;
22;85611.371;1218.59;33360.489;46691.975;478.116;1490.74;866.72;
23;82607.698;1065.66;7630.806;68893.368;19.144;1501.68;776.69;
