Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;75050.207;1280.89;5799.155;63843.492;11.375;1710.00;734.92;
1;73201.354;1112.11;5799.155;61955.339;11.635;1470.00;620.31;
2;72188.438;1048.66;5799.155;60938.304;17.081;1470.00;564.07;
3;71953.014;1010.82;5799.155;60701.200;22.442;1470.00;536.66;
4;72258.790;1009.55;5799.155;61021.489;24.489;1710.00;532.90;
5;73824.820;1008.78;5799.155;62484.904;26.076;1810.00;523.71;
6;77770.132;1326.79;17994.069;54149.063;27.030;1910.00;724.21;
7;81826.199;1488.76;17994.069;58074.796;16.289;1947.00;821.90;
8;87194.954;1726.20;15396.961;66227.546;87.444;2322.20;761.24;
9;90851.548;1814.05;15396.961;69863.181;18.290;2610.43;848.10;
10;92334.749;1852.12;15396.961;71335.846;14.330;2684.53;882.77;
11;92920.563;1864.14;15396.961;71889.830;16.474;2684.54;901.79;
12;93193.730;1889.67;15396.961;72129.590;25.823;2666.91;286.77;
13;93576.206;1902.89;15396.961;72523.098;22.095;2665.78;286.56;
14;93297.062;1909.56;15396.961;72248.481;21.906;2691.10;926.81;
15;92641.308;1920.78;15396.961;71597.424;17.499;2676.97;577.30;
16;92053.836;1897.65;15396.961;71045.118;16.410;2782.95;855.30;
17;91125.834;1861.63;15396.961;70138.498;17.654;2730.20;847.76;
18;89886.947;1834.92;15396.961;68869.097;17.605;2713.85;827.08;
19;89025.314;1822.37;15396.961;68037.579;34.931;2691.28;864.11;
20;88966.262;1813.90;28707.300;54773.568;72.510;2616.97;872.50;
21;87295.767;1752.81;28707.300;53235.941;80.076;2809.42;318.19;
22;83072.949;1605.21;28707.300;49047.137;134.746;2693.74;657.27;
23;78812.797;1346.46;28707.300;44850.554;281.088;2282.36;765.22;
