◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,72666.457,1121.79,5799.155,61864.303,45.665,1470.0,611.5,
1,70698.391,1026.37,5799.155,59877.125,50.205,1470.0,549.9,
2,69676.71,979.96,5799.155,58852.393,58.156,1470.0,514.26,
3,69228.889,959.42,5799.155,58430.225,70.05,1470.0,503.95,
4,69611.873,950.81,5799.155,58813.26,74.269,1470.01,501.79,
5,71553.096,990.96,5799.155,60637.042,75.422,1470.01,516.4,
6,75436.651,1250.71,17994.069,52244.386,78.78,1470.01,669.49,
7,79475.072,1470.98,17994.069,56089.882,62.652,1661.47,832.81,
8,84525.985,1693.33,15396.961,63860.325,148.003,2049.76,888.39,
9,87912.017,1856.29,15396.961,67197.445,61.506,2339.86,854.57,
10,89040.218,1853.95,15396.961,68322.168,54.921,2377.53,850.53,
11,88873.986,1835.31,15396.961,68124.001,56.484,2429.9,873.65,
12,88902.728,1812.97,15396.961,68158.805,58.781,2452.21,830.3,
13,89207.186,1829.91,15396.961,68522.763,63.144,2475.31,889.75,
14,89215.255,1847.91,15396.961,68542.609,64.181,2484.94,906.1,
15,89064.166,1845.31,15396.961,68419.796,59.969,2484.6,892.09,
16,88250.919,1823.7,15396.961,67587.728,54.718,2478.7,902.35,
17,87284.642,1793.14,15396.961,66674.476,43.628,2456.6,872.1,
18,86022.997,1768.2,15396.961,65435.623,55.06,2424.72,829.8,
19,85273.012,1757.61,15396.961,64674.483,69.81,2390.71,856.71,
20,85306.26,1747.68,28707.3,51497.923,113.695,2382.17,833.27,
21,84200.524,1702.42,28707.3,50602.765,140.288,2368.88,819.05,
22,80417.529,1490.14,28707.3,46864.429,204.276,2099.27,707.05,
23,76128.093,1155.06,28707.3,42612.802,361.562,1470.0,730.43,
0,73709.304,1001.55,5799.155,62696.03,39.718,1470.0,553.7,
1,71901.378,959.95,5799.155,60864.416,34.462,1470.0,510.04,
2,70712.801,939.03,5799.155,59678.115,39.281,1470.0,492.32,
3,70021.659,906.81,5799.155,58994.782,46.301,1470.0,462.11,
4,70188.219,872.43,5799.155,59188.089,58.52,1470.01,172.92,
5,71818.733,932.36,5799.155,60820.532,64.209,1470.01,479.4,
6,75783.794,1152.56,17994.069,52544.419,68.365,1470.01,619.88,
7,79428.676,1370.22,17994.069,56003.214,60.597,1589.86,763.39,
8,84245.11,1643.37,15396.961,63553.362,149.468,2014.35,852.96,
9,87529.523,1783.18,15396.961,66783.546,62.297,2322.13,893.33,
10,88801.008,1835.55,15396.961,68018.953,50.364,2290.11,976.82,
11,88899.58,1826.13,15396.961,68099.574,50.527,2324.3,1003.52,
12,88463.466,1786.97,15396.961,67693.981,56.264,2368.02,897.63,
13,88667.946,1791.69,15396.961,67926.231,56.525,2363.26,880.67,
14,88425.222,1828.52,15396.961,67689.575,57.531,2354.71,978.84,
15,87998.283,1820.39,15396.961,67247.962,54.663,2436.34,920.45,
16,87767.256,1811.32,15396.961,67065.834,51.56,2408.69,898.13,
17,86795.614,1772.46,15396.961,66136.419,37.527,2358.94,870.76,
18,85652.791,1749.23,15396.961,65015.337,55.364,2343.61,835.0,
19,84701.419,1734.9,15396.961,64046.588,71.114,2340.28,830.92,
20,84574.491,1736.11,28707.3,50711.903,112.262,2316.39,836.57,
21,83720.77,1723.38,28707.3,50056.791,134.611,2315.16,823.45,
22,80020.139,1506.63,28707.3,46402.866,197.49,1936.07,828.4,
23,76111.684,1152.01,28707.3,42551.327,347.478,1470.01,674.55,
0,73797.439,1038.43,5799.155,62826.479,32.249,1470.0,575.87,
1,71743.458,961.56,5799.155,60743.169,25.264,1470.0,500.44,
2,70556.141,941.95,5799.155,59555.055,34.053,1470.0,486.79,
3,70041.089,904.42,5799.155,59048.588,35.054,1470.0,458.89,
4,70403.608,872.79,5799.155,59440.294,41.923,1470.01,168.32,
5,72127.298,942.75,5799.155,61175.314,46.317,1470.01,475.13,
6,75935.792,1186.04,17994.069,52733.229,48.887,1470.01,598.25,
7,79887.179,1433.35,17994.069,56506.929,38.831,1660.12,636.17,
8,84852.427,1734.75,15396.961,64173.892,110.036,2161.17,766.39,
9,88289.81,1830.93,15396.961,67580.393,40.151,2350.79,797.56,
10,89494.639,1855.27,15396.961,68767.188,28.739,2397.32,832.46,
