Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;93380.446;1188.34;9309.950;77009.487;9.502;1804.93;787.79;
1;91423.407;1140.13;9309.950;75064.683;34.126;2143.03;737.10;
2;90429.854;1065.87;9309.950;74117.321;79.059;2107.54;671.58;
3;89971.680;1053.18;9309.950;73684.194;104.338;1516.45;671.26;
4;90398.419;1059.53;9309.950;74128.798;116.080;1518.30;668.02;
5;91396.927;1125.71;9309.950;75118.396;101.199;1640.61;705.11;
6;92601.975;1153.11;23707.649;61938.156;87.896;1694.16;715.68;
7;94803.158;1256.75;23707.649;64117.453;74.985;1846.31;775.29;
8;97483.773;1439.49;19932.653;70744.066;218.193;2240.99;916.48;
9;99656.659;1575.65;19932.653;72841.389;100.053;2532.58;1063.95;
10;101106.482;1546.45;19932.653;74196.713;38.713;2484.28;1067.94;
11;101484.741;1534.27;19932.653;74538.310;32.395;2466.15;1076.57;
12;101339.791;1534.04;19932.653;74382.151;46.105;2467.73;1067.54;
13;101332.309;1537.39;19932.653;74390.929;55.716;2463.10;1080.71;
14;101575.022;1561.23;19932.653;74635.611;42.254;2510.57;1071.36;
15;102215.460;1562.01;19932.653;75328.849;38.048;2492.30;1075.48;
16;103839.198;1541.40;19932.653;76975.556;28.856;2400.59;1064.74;
17;104655.782;1550.99;19932.653;77813.503;13.930;2418.63;1078.39;
18;104023.348;1653.98;37307.948;59853.762;73.239;2525.98;1163.16;
19;102621.846;1650.78;37307.948;58476.020;105.515;2526.53;1144.95;
20;100595.546;1572.88;37307.948;56501.947;155.693;2434.46;1088.00;
21;98460.474;1587.17;37307.948;54419.539;213.550;2516.06;1107.72;
22;96045.420;1417.61;9309.950;79771.543;6.646;2371.50;991.01;
23;93903.632;1193.79;9309.950;77597.529;7.480;2157.39;864.49;
