Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;92636.789;1046.59;9843.867;75971.974;27.591;1724.16;0.00;
1;91108.498;1007.32;9843.867;74466.090;70.241;1587.54;0.00;
2;90608.693;980.20;9843.867;74006.319;117.462;1456.46;0.00;
3;91006.541;995.20;9843.867;74428.815;138.940;1448.89;0.00;
4;92270.619;1024.30;9843.867;75682.258;144.847;1469.72;740.12;
5;94837.978;1105.57;9843.867;78156.673;105.189;1604.72;778.11;
6;98542.479;1374.40;25476.897;66143.847;68.318;1915.61;988.33;
7;102683.963;1503.64;25476.897;70132.187;27.113;2180.34;1069.30;
8;106142.707;1578.35;21275.630;77891.572;84.278;2275.48;1072.00;
9;107983.141;1583.81;21275.630;79685.813;49.887;2271.32;1072.00;
10;108099.019;1579.03;21275.630;79785.675;58.834;2154.45;1072.00;
11;107348.390;1590.93;21275.630;79002.281;63.165;2151.10;1072.00;
12;106353.234;1577.40;21275.630;77987.853;61.609;2151.82;1072.00;
13;106606.967;1587.35;21275.630;78239.037;60.719;2151.48;1072.00;
14;106231.388;1584.77;21275.630;77887.362;89.260;2181.14;962.00;
15;105940.807;1581.23;21275.630;77581.336;77.477;2162.28;962.00;
16;105715.807;1577.77;21275.630;77330.729;64.365;2109.97;1072.00;
17;106177.088;1531.90;21275.630;77848.554;57.920;2191.83;1055.09;
18;107461.728;1567.05;40149.114;60324.591;93.778;2198.85;1072.00;
19;106736.124;1584.58;40149.114;59652.258;139.655;2198.26;1149.95;
20;104957.262;1552.30;40149.114;57933.866;204.623;2195.96;1072.00;
21;102814.152;1504.41;40149.114;55992.290;319.650;2205.85;1050.54;
22;98582.246;1346.65;9843.867;81762.042;9.041;2045.50;951.20;
23;95000.873;1082.06;9843.867;78095.356;5.783;1720.28;825.66;
