◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,97302.286,1101.14,9843.867,80370.874,5.328,1587.03,726.27,
1,95888.311,1057.97,9843.867,78933.389,6.772,1520.29,686.56,
2,95328.567,1028.56,9843.867,78365.183,21.525,1431.58,667.27,
3,95597.579,1047.56,9843.867,78646.155,40.28,1451.66,676.01,
4,96625.121,1103.66,9843.867,79686.329,46.676,1517.17,701.31,
5,99020.23,1238.83,9843.867,82085.783,32.67,1648.44,784.65,
6,102820.913,1420.75,25476.897,70260.639,8.536,2036.08,887.28,
7,107288.38,1661.19,25476.897,74642.807,8.569,2288.56,1005.0,
8,110752.777,1721.3,21275.63,82433.471,5.28,2362.26,1114.67,
9,112555.784,1734.18,21275.63,84255.197,12.768,2328.84,1059.0,
10,112861.685,1740.57,21275.63,84553.623,9.685,2363.8,1160.51,
11,112447.403,1742.87,21275.63,84096.537,11.504,2334.54,1157.71,
12,111711.749,1727.11,21275.63,83340.664,13.823,2327.74,1142.56,
13,111742.8,1734.67,21275.63,83386.417,14.354,2324.13,1153.21,
14,111522.662,1734.75,21275.63,83158.22,6.115,2312.17,1134.7,
15,111525.578,1725.29,21275.63,83147.799,5.77,2274.58,1059.0,
16,112263.362,1724.4,21275.63,83898.89,4.896,2231.41,1059.0,
17,112916.989,1741.3,21275.63,84590.094,3.108,2283.55,1137.61,
18,112776.649,1742.79,40149.114,65559.929,34.965,2277.28,1157.92,
19,111446.07,1731.07,40149.114,64258.498,56.591,2274.94,1163.94,
20,109481.135,1663.96,40149.114,62305.156,90.342,2240.66,1059.0,
21,106796.537,1566.55,40149.114,59794.771,156.508,2259.51,997.9,
22,102822.485,1427.29,9843.867,85985.723,1.894,2367.0,915.23,
23,99127.512,1222.23,9843.867,82219.241,1.909,2287.63,811.69,
0,97444.103,1137.49,9843.867,80522.391,5.186,1928.73,788.25,
1,96154.457,1089.88,9843.867,79205.308,6.983,1580.52,725.74,
2,95585.803,1067.38,9843.867,78635.406,29.061,1515.79,704.75,
3,95975.119,1081.33,9843.867,79041.844,44.813,1506.84,709.34,
4,97225.844,1109.05,9843.867,80313.735,53.788,1522.92,729.95,
5,99729.476,1303.43,9843.867,82816.0,41.337,1834.24,836.95,
6,103540.797,1547.03,25476.897,70996.096,12.894,2255.22,964.8,
7,108030.991,1711.38,25476.897,75397.847,15.168,2421.7,1111.99,
8,110695.449,1743.36,21275.63,82336.156,17.332,2494.88,1156.0,
9,112402.399,1767.89,21275.63,84068.932,17.937,2607.79,1197.8,
10,112904.284,1769.29,21275.63,84578.325,16.298,2550.32,1210.72,
11,112403.371,1778.9,21275.63,84061.779,19.849,2536.25,1207.01,
12,111719.6,1767.36,21275.63,83364.787,20.143,2543.33,1199.26,
13,112042.343,1774.46,21275.63,83680.295,20.377,2549.92,1211.61,
14,111886.233,1773.15,21275.63,83518.447,16.366,2528.69,1201.31,
15,111709.743,1747.42,21275.63,83334.202,17.422,2468.2,1173.56,
16,112168.852,1731.24,21275.63,83785.253,13.024,2364.47,1152.25,
17,112678.355,1737.17,21275.63,84349.386,11.318,2396.2,1164.6,
18,112745.25,1746.59,40149.114,65583.035,50.927,2398.9,1186.68,
19,111378.001,1747.69,40149.114,64248.705,66.848,2420.39,1161.25,
