Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;73298.186;1024.75;5944.921;61644.810;29.690;1515.10;569.49;
1;71423.689;932.40;5944.921;59738.187;36.568;1505.22;487.72;
2;70368.064;909.03;5944.921;58660.935;44.049;1509.26;461.46;
3;69823.780;884.87;5944.921;58116.821;47.427;1502.48;435.85;
4;70359.896;879.77;5944.921;58701.551;85.626;1507.39;424.67;
5;72636.350;968.37;5944.921;60994.932;85.648;1780.00;464.40;
6;76627.608;1145.96;18657.240;52255.574;49.934;1601.42;585.19;
7;79925.981;1398.24;18657.240;55366.423;39.138;1820.47;717.10;
8;84207.248;1630.64;15855.839;62573.502;138.535;1984.19;870.04;
9;86795.151;1714.58;15855.839;65087.642;66.490;2292.88;460.06;
10;87406.294;1761.10;15855.839;65643.518;41.440;2342.58;956.77;
11;87269.278;1763.75;15855.839;65462.162;40.422;2335.03;947.69;
12;86665.293;1705.02;15855.839;64862.072;50.929;2288.83;445.53;
13;87219.064;1765.43;15855.839;65402.722;43.538;2361.38;0.00;
14;86238.669;1768.52;15855.839;64448.654;45.792;2570.02;0.00;
15;85366.780;1776.12;15855.839;63594.169;48.483;2550.08;0.00;
16;84830.230;1755.52;15855.839;63096.200;47.581;2512.14;0.00;
17;84260.415;1694.41;15855.839;62573.446;44.772;2252.33;0.00;
18;83837.063;1702.66;15855.839;62253.426;79.667;2054.29;910.78;
19;83382.468;1666.03;15855.839;61749.510;54.741;2016.56;892.07;
20;83256.668;1639.99;29719.647;47768.020;53.698;2030.38;860.01;
21;82735.295;1617.99;29719.647;47639.087;74.602;2245.87;870.40;
22;79574.784;1510.21;29719.647;44613.148;209.432;2095.49;588.22;
23;75787.092;1133.53;29719.647;40999.596;461.432;1671.16;616.01;
