◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,93032.235,1060.07,8507.576,77531.476,10.002,1585.64,768.91,
1,91362.202,1023.67,8507.576,75849.249,12.83,1475.43,696.75,
2,91539.109,1027.83,8507.576,76024.723,18.383,1464.84,712.5,
3,91852.873,1031.75,8507.576,76364.105,35.572,1504.36,695.13,
4,92910.618,1047.97,8507.576,77434.177,40.061,1510.26,724.8,
5,95337.062,1087.22,8507.576,79891.479,18.136,1589.11,749.14,
6,98632.43,1349.21,21741.374,69947.343,12.714,1966.67,943.6,
7,102360.456,1494.95,21741.374,73654.275,10.992,2324.79,1020.21,
8,105648.349,1558.23,18186.01,80524.901,4.343,2351.8,1072.0,
9,107576.781,1566.04,18186.01,82465.739,13.33,2326.39,1072.0,
10,107112.441,1559.41,18186.01,81980.438,10.955,2349.52,1072.0,
11,105943.363,1564.19,18186.01,80792.595,14.691,2453.16,1072.0,
12,105051.694,1550.26,18186.01,79884.997,15.513,2425.62,1067.43,
13,105313.044,1554.36,18186.01,80147.33,16.799,2430.33,1068.17,
14,105275.293,1557.44,18186.01,80103.358,17.02,2409.67,1072.0,
15,104968.739,1556.31,18186.01,79780.432,12.132,2402.07,1072.0,
16,105134.716,1563.06,18186.01,79957.555,11.387,2450.27,1119.08,
17,105783.958,1545.06,18186.01,80657.366,7.913,2298.25,1058.79,
18,107332.712,1560.28,34260.753,66188.545,32.196,2358.25,1072.0,
19,106767.269,1559.21,34260.753,65646.846,40.361,2489.49,1072.0,
20,104985.05,1546.91,34260.753,63890.192,59.5,2490.24,1028.67,
21,102832.802,1495.76,34260.753,61856.893,84.981,2454.48,959.21,
22,98898.689,1310.48,8507.576,83562.998,6.185,2348.07,880.21,
23,95470.247,1111.71,8507.576,80046.618,6.097,1954.81,822.69,
0,93326.948,1056.4,8507.576,77833.524,7.572,1645.59,763.72,
1,91864.344,1023.15,8507.576,76375.941,18.334,1547.2,734.51,
2,91609.956,1009.61,8507.576,76137.826,49.44,1506.19,717.77,
3,92193.999,1051.58,8507.576,76734.305,63.49,1955.08,707.77,
4,93331.0,1046.36,8507.576,77876.831,69.641,1566.6,752.08,
5,96018.288,1116.49,8507.576,80580.963,47.256,1668.61,794.1,
6,99308.99,1395.43,21741.374,70642.277,31.359,2318.86,978.3,
7,102622.06,1496.41,21741.374,73889.119,26.902,2506.75,1045.03,
8,105876.27,1564.25,18186.01,80712.729,29.759,2508.07,1100.62,
9,107766.051,1588.58,18186.01,82582.872,17.912,2590.19,1117.77,
10,107958.048,1585.4,18186.01,82727.255,12.863,2592.76,1095.59,
11,107212.938,1600.35,18186.01,81981.029,18.878,2581.08,1105.91,
12,106370.823,1587.33,18186.01,81108.429,21.035,2548.19,1093.7,
