Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;93713.649;1008.16;8770.248;78256.830;15.391;1333.87;594.74;
1;92177.427;959.74;8770.248;76758.651;47.730;1226.45;553.76;
2;91320.505;937.14;8770.248;75935.492;83.541;1192.96;526.92;
3;91047.758;934.23;8770.248;75703.715;118.733;1159.26;514.61;
4;91488.065;953.10;8770.248;76132.755;113.057;1188.91;523.13;
5;92623.864;978.28;8770.248;77213.832;66.309;1223.46;531.69;
6;93736.753;997.94;22570.597;64543.964;44.672;1265.41;533.98;
7;95719.187;1112.87;22570.597;66530.766;21.716;1438.57;594.37;
8;98767.893;1291.27;18923.683;73308.250;106.379;1737.95;710.75;
9;101296.193;1447.49;18923.683;75805.705;50.162;2073.18;812.03;
10;102755.590;1526.71;18923.683;77260.337;42.717;2228.44;892.51;
11;103018.284;1527.69;18923.683;77522.152;44.673;2251.25;923.83;
12;103059.113;1528.42;18923.683;77579.694;68.190;2262.93;933.60;
13;103043.017;1523.00;18923.683;77562.880;76.430;2218.27;936.22;
14;103331.981;1527.77;18923.683;77862.704;79.422;2165.94;927.54;
15;104145.117;1542.55;18923.683;78689.648;64.418;2205.94;929.78;
16;105837.639;1558.70;18923.683;80400.117;28.231;2232.48;938.72;
17;107098.923;1578.88;18923.683;81670.773;5.646;2313.27;940.02;
18;106640.209;1570.60;35570.746;64580.901;25.046;2298.39;941.42;
19;105094.164;1552.88;35570.746;63029.568;38.090;2284.82;949.44;
20;103145.182;1530.97;35570.746;61107.468;80.881;2279.29;921.28;
21;100708.742;1448.43;35570.746;58739.775;154.434;2251.78;870.36;
22;97503.182;1189.44;8770.248;82109.828;6.049;1689.31;707.61;
23;94765.836;1022.73;8770.248;79365.603;6.279;1445.08;600.08;
