Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;85204.993;937.34;7046.353;71639.782;18.242;1210.96;522.53;
1;83686.964;867.62;7046.353;70140.933;19.157;1166.51;482.16;
2;83092.545;797.71;7046.353;69568.338;19.215;1117.89;398.95;
3;83156.372;704.09;7046.353;69642.008;15.972;1133.69;0.00;
4;84527.623;914.81;7046.353;70986.655;16.153;1298.71;466.91;
5;87260.889;983.81;7046.353;73613.959;14.952;1383.11;509.34;
6;90602.009;1089.29;19516.177;64378.184;14.652;1475.30;576.96;
7;94801.194;1412.84;19516.177;68404.561;13.359;1668.53;797.57;
8;98631.191;1594.62;16391.624;75353.482;25.878;2237.07;0.00;
9;100927.208;1639.57;16391.624;77619.336;9.395;2276.63;0.00;
10;101177.870;1640.64;16391.624;77856.204;7.294;2296.12;0.00;
11;100807.042;1629.93;16391.624;77461.107;11.915;2298.15;0.00;
12;100197.799;1622.02;16391.624;76871.441;21.283;2277.26;0.00;
13;100536.883;1627.79;16391.624;77225.923;20.160;2285.37;0.00;
14;100619.442;1625.84;16391.624;77300.977;22.977;2290.53;842.72;
15;100355.229;1623.17;16391.624;77034.147;23.995;2287.75;838.25;
16;100701.570;1622.41;16391.624;77405.616;23.229;2293.36;828.32;
17;101297.976;1632.54;16391.624;78024.179;8.973;2325.39;823.43;
18;101359.384;1640.69;16391.624;78134.357;9.380;2362.04;829.06;
19;99667.553;1619.30;30756.000;62087.672;25.499;2346.25;849.10;
20;97472.305;1565.55;30756.000;59916.991;31.405;2223.88;849.65;
21;94870.639;1484.27;30756.000;57493.217;59.350;2194.84;827.35;
22;91195.405;1131.70;30756.000;53842.968;132.883;1561.72;0.00;
23;88627.950;981.47;7046.353;74852.503;17.244;1255.65;0.00;
