◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,79828.999,1094.69,7046.353,66618.618,41.664,1284.02,655.56,
1,78146.935,1016.88,7046.353,65015.3,135.679,1157.85,590.9,
2,77587.505,990.37,7046.353,64491.951,180.517,1131.48,556.47,
3,77473.521,982.34,7046.353,64398.365,199.494,1134.76,551.31,
4,78134.231,1010.17,7046.353,65051.807,182.663,1188.36,558.39,
5,79284.935,1071.86,7046.353,66169.659,156.62,1254.1,602.03,
6,80274.554,1217.54,19516.177,54755.819,198.122,1466.66,672.21,
7,83191.727,1414.62,19516.177,57578.996,95.851,1746.56,718.48,
8,86647.947,1561.74,16391.624,64288.152,233.178,2120.48,793.66,
9,88980.392,1675.99,16391.624,66518.199,136.104,2259.94,790.41,
10,89812.118,1733.15,16391.624,67298.621,102.653,2250.61,919.4,
11,89894.819,1727.08,16391.624,67352.508,122.393,2244.24,915.29,
12,89635.926,1725.08,16391.624,67089.04,127.409,2239.01,940.85,
13,89464.019,1716.32,16391.624,66917.429,136.031,2234.43,952.01,
14,89255.45,1773.62,16391.624,66698.206,143.698,2243.72,1004.57,
15,89253.53,1782.78,16391.624,66732.296,145.301,2259.8,1001.57,
16,89460.017,1791.94,16391.624,66996.433,128.07,2318.41,1015.83,
