Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;78504.280;962.19;6799.015;65528.584;11.876;1530.01;579.99;
1;76971.111;935.43;6799.015;63981.730;20.830;1530.01;542.98;
2;76445.682;904.90;6799.015;63461.838;27.888;1530.01;510.77;
3;76749.212;892.68;6799.015;63785.818;34.049;1530.01;494.93;
4;78092.192;944.88;6799.015;65122.218;28.043;1530.01;532.55;
5;80339.762;1045.05;6799.015;67360.097;26.994;1530.01;603.47;
6;83167.297;1305.91;19276.993;57708.905;39.857;1630.00;751.14;
7;87389.536;1488.96;19276.993;61775.410;6.915;1910.94;801.16;
8;91076.639;1586.60;16173.223;68662.105;31.427;2208.71;802.96;
9;93259.750;1650.01;16173.223;70817.198;2.804;2353.32;865.10;
10;93531.329;1671.90;16173.223;71071.440;2.659;2446.96;872.30;
11;93263.943;1649.65;16173.223;70734.141;2.821;2383.16;818.97;
12;92670.889;1641.34;16173.223;70117.800;6.098;2365.31;823.66;
13;92756.761;1653.52;16173.223;70222.141;6.437;2370.37;861.61;
14;92482.736;1672.02;16173.223;69968.113;7.562;2335.28;883.99;
15;92153.432;1661.72;16173.223;69682.149;5.082;2322.29;878.11;
16;91833.476;1637.26;16173.223;69393.044;3.460;2321.47;858.12;
17;91752.785;1616.95;16173.223;69330.956;4.518;2312.29;890.79;
18;92979.864;1643.88;16173.223;70593.826;6.075;2386.14;911.56;
19;93234.364;1651.07;30593.860;56435.935;11.913;2417.37;918.43;
20;91026.814;1616.85;30593.860;54276.792;19.111;2364.54;907.58;
21;88345.110;1541.36;30593.860;51786.733;65.878;2288.82;871.15;
22;84348.945;1344.72;30593.860;47865.164;194.168;1863.96;769.23;
23;81417.939;1058.60;6799.015;68487.744;11.945;1530.01;589.42;
