◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,75580.902,1107.14,6799.015,63038.617,17.476,1308.86,637.27,
1,73503.88,1010.32,6799.015,60957.57,32.339,1150.9,566.07,
2,72571.837,975.69,6799.015,60042.638,44.319,1136.2,538.6,
3,72911.441,1005.06,6799.015,60409.623,51.368,1623.54,540.92,
4,73545.192,1034.35,6799.015,61071.277,56.678,1622.82,542.77,
5,74759.0,1061.91,6799.015,62301.528,71.276,1622.56,557.44,
6,78234.927,1393.67,19276.993,53249.329,80.164,1992.94,754.01,
7,82103.236,1549.8,19276.993,56920.53,50.166,2101.27,821.6,
8,86440.238,1667.63,16173.223,64413.698,77.273,2102.37,861.27,
9,89818.662,1821.5,16173.223,67771.874,38.464,2343.71,861.27,
10,91056.705,1833.49,16173.223,68987.516,37.28,2356.07,861.28,
11,91600.992,1825.49,16173.223,69526.661,41.542,2450.5,861.27,
12,91652.388,1819.67,16173.223,69585.805,45.457,2473.67,861.27,
13,92155.541,1832.51,16173.223,70116.132,47.68,2481.68,861.28,
14,92113.11,1869.98,16173.223,70090.855,48.621,2386.95,861.28,
15,91493.176,1836.27,16173.223,69504.467,31.943,2304.24,861.28,
16,90905.125,1865.34,16173.223,68901.524,30.43,2280.09,861.28,
17,89864.119,1836.62,16173.223,67890.545,39.179,2289.92,861.28,
18,89291.922,1825.18,16173.223,67299.898,30.435,2278.02,861.28,
19,89646.761,1816.43,30593.86,53312.068,75.005,2282.54,861.28,
20,88997.104,1803.04,30593.86,52732.381,89.381,2437.63,861.27,
21,86550.797,1710.29,30593.86,50504.332,151.943,2379.9,861.3,
22,82148.704,1522.05,30593.86,46236.54,262.377,2004.4,911.95,
23,78017.878,1237.69,6799.015,65570.498,20.425,1473.96,751.11,
0,75205.343,1182.43,6799.015,62734.782,21.053,1424.48,667.24,
1,73595.091,1041.92,6799.015,61123.021,37.003,1205.69,571.27,
2,72809.488,976.99,6799.015,60355.0,45.612,1129.59,526.87,
3,72572.643,886.0,6799.015,60109.477,43.525,1154.54,0.0,
4,73196.131,934.12,6799.015,60746.702,47.008,1234.61,0.0,
5,74854.643,1050.6,6799.015,62421.028,55.421,1650.01,0.0,
6,78199.789,1424.33,19276.993,53259.804,66.213,1748.36,762.84,
7,81724.018,1564.56,19276.993,56600.752,47.94,2023.31,768.35,
8,86324.988,1724.85,16173.223,64356.03,53.319,2105.48,887.67,
9,89224.578,1820.74,16173.223,67238.102,39.789,2297.09,949.16,
10,90312.726,1827.75,16173.223,68313.356,33.385,2353.23,947.5,
11,90555.699,1797.2,16173.223,68552.721,34.843,2378.1,907.43,
12,90478.817,1789.43,16173.223,68486.821,40.009,2411.4,891.9,
13,90940.615,1790.72,16173.223,68974.764,39.791,2431.93,868.23,
14,90730.081,1805.23,16173.223,68758.776,43.17,2459.28,919.01,
15,90174.768,1786.79,16173.223,68226.572,26.863,2463.64,909.02,
16,89729.217,1788.14,16173.223,67793.406,23.442,2450.72,902.01,
17,88813.869,1772.01,16173.223,66924.549,30.324,2416.48,889.31,
18,88733.83,1771.08,16173.223,66854.781,26.32,2384.55,906.32,
19,88886.32,1769.89,30593.86,52662.805,60.031,2385.54,919.09,
20,88257.215,1748.02,30593.86,52096.263,71.654,2381.87,915.23,
21,85930.824,1718.77,30593.86,50206.419,141.787,2341.01,922.32,
22,81729.651,1607.7,30593.86,46105.339,263.519,2237.37,898.76,
23,77717.162,1263.53,6799.015,65549.606,16.861,1547.88,713.77,
0,75697.949,1207.47,6799.015,63479.381,19.067,1470.01,682.12,
