◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,88624.655,1175.95,8298.746,73398.655,60.683,1638.37,799.89,
1,87203.521,1106.57,8298.746,72041.255,133.131,1498.78,742.48,
2,86570.97,1099.36,8298.746,71465.229,193.898,1495.88,730.41,
3,86224.645,1096.44,8298.746,71079.19,140.098,1526.94,716.85,
4,86692.938,1114.65,8298.746,71500.516,74.402,1576.67,724.61,
5,87675.914,1122.37,8298.746,72515.514,116.739,1501.12,734.25,
6,88585.628,1141.14,22681.388,59102.539,137.15,1522.24,738.4,
7,90736.018,1360.29,22681.388,61244.835,87.257,1762.77,779.71,
8,94041.498,1515.38,19012.452,68371.724,228.22,2071.53,894.22,
9,96446.93,1535.58,19012.452,70671.757,127.638,2089.12,930.93,
10,97310.898,1547.82,19012.452,71506.297,125.381,2070.54,958.21,
11,97252.331,1560.03,19012.452,71385.759,124.591,2110.29,987.88,
12,96743.381,1549.86,19012.452,70833.977,122.437,2084.5,983.1,
13,96381.959,1544.8,19012.452,70419.435,117.104,2072.61,961.83,
14,95932.838,1540.17,19012.452,70007.774,137.975,2064.74,963.34,
15,95589.384,1539.44,19012.452,69656.136,106.822,2049.29,965.53,
16,95769.352,1542.17,19012.452,69804.523,71.821,2065.66,948.42,
17,96052.44,1543.05,19012.452,70099.724,37.237,2105.81,940.19,
18,97293.814,1553.61,19012.452,71380.723,23.719,2105.21,929.24,
19,98086.296,1600.58,35885.078,55413.498,93.108,2415.03,951.54,
20,97010.261,1593.62,35885.078,54374.701,147.912,2440.54,969.37,
21,95018.527,1511.86,35885.078,52439.914,241.454,2167.49,939.55,
22,91785.244,1451.59,35885.078,49378.029,427.276,2135.39,882.89,
23,89910.674,1320.87,8298.746,74660.438,25.419,1980.84,816.41,
0,87679.123,1114.86,8298.746,72470.672,83.367,1618.55,780.87,
1,86077.323,1064.1,8298.746,70936.606,152.881,1496.67,729.48,
2,85132.369,1013.0,8298.746,70045.985,217.701,1365.44,682.3,
3,84783.42,1006.46,8298.746,69638.775,161.329,1376.38,669.43,
4,85173.092,1014.32,8298.746,69965.925,87.85,1411.42,672.94,
5,86032.978,1028.02,8298.746,70878.034,145.395,1399.1,678.76,
6,86490.798,1020.84,22681.388,56988.924,165.783,1457.7,671.65,
7,88556.459,1059.87,22681.388,58995.608,118.694,1489.19,700.74,
8,91337.248,1243.09,19012.452,65619.893,281.36,1621.35,576.81,
9,93871.153,1333.22,19012.452,68064.017,188.053,1738.04,937.52,
10,95009.968,1351.62,19012.452,69159.886,157.733,1727.93,998.44,
11,95210.272,1354.1,19012.452,69319.466,158.161,1729.68,1008.36,
12,94944.129,1351.3,19012.452,69042.85,141.341,1721.15,1007.56,
13,94727.918,1359.71,19012.452,68789.271,122.23,1725.48,1021.58,
14,94468.061,1358.69,19012.452,68541.205,128.325,1717.23,1011.16,
15,94430.753,1350.49,19012.452,68505.75,116.144,1707.17,1000.19,
16,94872.468,1356.12,19012.452,68950.217,80.668,1721.98,997.54,
17,95503.307,1370.95,19012.452,69601.845,40.995,1746.83,1016.62,
18,96756.109,1525.76,19012.452,70902.591,29.508,2089.39,1124.04,
19,97863.454,1605.8,35885.078,55252.175,104.584,2408.96,1167.01,
20,96907.135,1574.67,35885.078,54321.608,152.936,2362.62,1170.85,
21,94858.562,1454.74,35885.078,52329.217,252.373,2356.09,1061.54,
22,91420.741,1280.25,35885.078,49052.715,470.171,1825.98,939.41,
23,89207.478,1214.64,8298.746,73970.662,31.263,1807.79,876.23,
0,87070.14,1103.29,8298.746,71743.66,92.512,1613.14,685.23,
1,85758.288,1065.38,8298.746,70519.665,173.301,1540.12,646.63,
2,85056.546,1009.89,8298.746,69868.998,229.658,1404.73,604.06,
3,85115.868,1011.09,8298.746,69878.103,171.301,1419.26,602.41,
