Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;97452.029;1165.41;10323.026;80235.779;72.802;1809.50;745.90;
1;96079.237;1116.01;10323.026;78931.963;162.783;1705.21;701.47;
2;95367.962;1103.65;10323.026;78299.271;248.030;1690.04;686.37;
3;95436.819;1110.64;10323.026;78394.974;281.204;1685.86;687.25;
4;96880.172;1163.33;10323.026;79860.863;293.994;1734.16;718.02;
5;99016.155;1243.71;10323.026;81978.582;255.829;1881.30;767.39;
6;101851.053;1605.37;26280.117;68789.345;168.121;2668.19;988.02;
7;106321.504;1767.44;26280.117;73120.015;88.884;2901.00;1087.25;
8;109940.974;1834.34;22069.026;81192.528;276.955;2927.43;1176.52;
9;111697.683;1844.62;22069.026;82898.003;216.768;2926.12;1205.15;
10;111836.294;1847.23;22069.026;83008.911;193.871;2943.41;1218.23;
11;111313.598;1851.43;22069.026;82445.603;186.656;2946.05;1242.91;
12;110532.530;1839.78;22069.026;81644.255;194.875;2947.33;1234.44;
13;110496.190;1842.89;22069.026;81597.050;183.363;2984.79;1242.88;
14;110315.033;1845.61;22069.026;81421.854;185.283;2975.27;1241.25;
15;110317.993;1836.41;22069.026;81410.379;173.453;2883.89;1214.72;
16;111107.215;1835.15;22069.026;82203.767;154.808;2874.73;1204.17;
17;111745.925;1842.74;22069.026;82769.291;62.714;2833.50;1212.66;
18;111361.150;1843.98;41336.001;63255.912;193.796;2830.76;1227.45;
19;110120.619;1843.95;41336.001;62053.530;245.519;2828.59;1229.76;
20;108029.086;1807.34;41336.001;60026.048;305.636;2820.29;1179.02;
21;105496.410;1749.35;41336.001;57714.552;387.536;2888.92;1145.78;
22;101658.343;1611.74;10323.026;84445.663;17.936;2741.19;1042.94;
23;98907.762;1219.29;10323.026;81589.082;19.726;1939.27;796.99;
