Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;75260.497;1169.29;6340.406;62934.409;6.677;1630.00;920.92;
1;73088.660;1056.90;6340.406;60788.446;63.574;1630.00;825.41;
2;71787.160;993.55;6340.406;59531.678;121.631;1630.00;753.73;
3;71088.552;931.30;6340.406;58855.397;154.516;1630.00;691.52;
4;71346.260;918.76;6340.406;59180.625;209.609;1630.01;668.42;
5;73517.984;1048.34;6340.406;61346.146;217.480;1630.01;783.88;
6;76989.275;1186.61;19302.818;51837.946;166.153;1758.89;880.96;
7;82119.914;1449.18;19302.818;56722.416;41.405;1762.90;1086.03;
8;87148.332;1817.57;16577.379;64867.322;403.834;2156.04;1140.00;
9;90406.255;1985.34;16577.379;68003.155;231.877;2343.38;1140.00;
10;91261.618;1998.34;16577.379;68755.049;136.870;2421.55;1140.00;
11;91510.160;1993.25;16577.379;68951.053;97.406;2431.37;1140.00;
12;91400.566;1988.51;16577.379;68837.175;85.382;2434.38;1140.00;
13;91963.744;2001.52;16577.379;69375.262;67.904;2437.60;1140.00;
14;91665.029;2001.97;16577.379;69056.681;50.540;2442.58;1140.00;
15;91088.248;2000.48;16577.379;68491.736;41.247;2437.32;1140.00;
16;90445.852;1995.81;16577.379;67868.312;40.368;2438.22;1140.00;
17;89423.484;1989.07;16577.379;66902.365;29.803;2434.48;1140.00;
18;88574.771;1975.93;16577.379;66155.770;88.052;2437.00;1140.00;
19;87908.128;1974.51;16577.379;65480.273;91.519;2421.07;1140.00;
20;87798.109;1956.19;30759.230;51167.404;62.092;2428.05;1140.00;
21;86909.615;1925.41;30759.230;50649.208;90.018;2438.21;1099.37;
22;82924.152;1788.43;30759.230;46878.813;300.042;2371.61;1016.50;
23;79488.849;1472.48;30759.230;43726.205;622.335;1768.96;996.00;
