Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;93595.035;1279.34;9406.764;76932.762;78.779;2549.56;806.28;
1;92021.202;1201.31;9406.764;75430.477;179.113;2507.84;739.62;
2;91264.492;1149.60;9406.764;74708.653;218.562;2502.52;704.92;
3;91463.589;1180.98;9406.764;74928.312;242.442;2501.48;725.47;
4;92743.984;1247.49;9406.764;76206.645;238.499;2517.48;764.32;
5;95023.380;1429.84;9406.764;78464.405;193.446;2570.18;888.03;
6;98255.362;1552.63;23839.584;67289.542;172.434;2616.03;954.04;
7;101890.603;1640.54;23839.584;70795.144;150.021;2642.36;1026.22;
8;105431.969;1772.87;19998.768;78391.758;307.918;2904.31;1125.32;
9;107181.034;1787.01;19998.768;80082.062;225.588;2942.93;1149.01;
10;106968.878;1782.23;19998.768;79769.214;169.688;2941.06;1147.99;
11;106146.116;1782.09;19998.768;78874.760;155.959;2797.83;1149.55;
12;105154.891;1783.12;19998.768;77821.229;162.244;2787.28;1144.91;
13;105136.030;1783.32;19998.768;77815.114;194.961;2776.73;1141.94;
14;104692.691;1778.21;19998.768;77356.988;226.996;2760.33;1139.81;
15;104111.948;1765.84;19998.768;76750.326;203.212;2761.94;1123.78;
16;103967.496;1728.12;19998.768;76565.414;158.969;2677.17;1132.19;
17;104251.203;1745.84;19998.768;76870.544;129.416;2672.39;1133.54;
18;105749.670;1769.57;37484.682;60944.465;140.963;2639.00;1122.70;
19;105877.695;1786.93;37484.682;61116.130;180.259;2650.13;1110.65;
20;104265.641;1778.19;37484.682;59532.719;228.139;2639.42;1092.44;
21;102055.226;1758.44;37484.682;57711.485;349.795;2684.81;1063.90;
22;98630.270;1612.96;9406.764;82066.256;38.876;2662.87;1004.71;
23;96117.769;1542.12;9406.764;79531.782;43.437;2655.29;1003.13;
