Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;78331.626;1279.74;7362.790;64835.062;12.333;1562.05;890.40;
1;76624.445;1109.42;7362.790;63127.531;15.763;1399.29;763.92;
2;75768.649;1058.73;7362.790;62296.760;50.254;1305.74;724.58;
3;75513.422;1038.98;7362.790;62059.117;61.405;1279.72;705.01;
4;76212.794;1075.16;7362.790;62776.593;80.359;1299.99;717.72;
5;77958.529;1149.79;7362.790;64384.031;88.955;1318.76;759.70;
6;81011.701;1372.47;20472.623;54184.241;63.613;1587.24;898.45;
7;84768.032;1547.55;20472.623;57784.745;47.798;1845.72;1050.69;
8;88112.752;1808.39;17180.630;64495.386;88.310;2270.14;1223.69;
9;89968.664;1850.70;17180.630;66306.922;51.817;2339.57;1268.63;
10;89998.662;1839.16;17180.630;66315.945;53.145;2318.49;1277.40;
11;89450.300;1850.76;17180.630;65749.359;55.437;2410.36;1281.17;
12;88815.239;1836.80;17180.630;65118.963;56.879;2365.51;1284.26;
13;88828.635;1861.33;17180.630;65160.896;54.813;2391.38;1285.15;
14;88408.708;1819.77;17180.630;64753.775;49.322;2368.36;1310.95;
15;87734.802;1792.48;17180.630;64112.182;17.768;2392.07;1303.68;
16;87099.657;1770.71;17180.630;63505.671;15.225;2371.38;1273.25;
17;86578.875;1751.32;17180.630;63014.588;14.775;2283.04;1261.29;
18;86667.851;1721.68;17180.630;63123.395;27.127;2283.37;1226.01;
19;87465.068;1716.76;32423.929;48779.217;104.272;2397.83;1199.18;
20;88342.888;1752.41;32423.929;49699.529;114.647;2529.02;1203.85;
21;87471.130;1785.72;32423.929;48989.745;124.879;2517.82;1257.31;
22;84011.038;1623.09;32423.929;45594.415;223.415;2281.80;1149.27;
23;81104.416;1451.28;7362.790;67452.607;9.788;1800.00;1033.57;
