◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,80169.779,1517.92,7362.79,66490.274,15.584,1871.19,1070.7,
1,78703.442,1413.99,7362.79,65002.521,17.761,1659.63,996.9,
2,77904.112,1345.22,7362.79,64226.608,41.033,1515.68,730.0,
3,77595.305,1275.81,7362.79,63959.817,46.909,1433.62,730.0,
4,77623.326,1264.68,7362.79,63979.298,43.626,1428.97,730.0,
5,78140.73,1305.39,7362.79,64492.962,31.921,1592.92,878.84,
6,79282.718,1347.44,20472.623,52527.777,27.085,1655.23,904.23,
7,81927.751,1466.32,20472.623,55168.232,18.757,1762.54,730.0,
8,84850.485,1699.91,17180.63,61441.052,38.636,2017.8,993.36,
9,86627.555,1850.49,17180.63,63196.06,16.323,2190.98,1255.9,
10,87226.304,1859.34,17180.63,63784.086,16.723,2210.46,1223.0,
11,87145.067,1849.66,17180.63,63697.97,24.266,2211.19,1161.92,
12,86806.242,1830.43,17180.63,63358.611,31.881,2170.64,1102.51,
13,86622.478,1826.97,17180.63,63182.13,31.6,2168.76,1100.67,
14,86308.221,1803.61,17180.63,62880.024,30.248,2137.1,1047.12,
15,86147.995,1789.12,17180.63,62731.317,29.733,2137.16,1027.56,
16,86238.925,1788.03,17180.63,62817.55,30.432,2179.25,1090.18,
