◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,88108.751,1137.61,9552.829,71984.729,342.436,1441.17,728.13,
1,86598.788,1036.73,9552.829,70530.135,410.56,1287.77,633.85,
2,85841.926,985.26,9552.829,69815.817,465.677,1197.37,589.86,
3,85646.279,956.03,9552.829,69652.416,491.156,1181.62,554.04,
4,86948.979,1057.23,9552.829,70952.727,481.915,1281.51,618.4,
5,89840.409,1205.65,9552.829,73816.22,415.395,1715.11,723.21,
6,93033.432,1250.71,24341.382,62236.6,444.545,1758.78,5.07,
7,96950.05,1449.65,24341.382,66043.395,360.121,2181.13,7.12,
8,100328.122,1662.2,20461.833,73566.368,574.986,2366.26,446.38,
9,102195.539,1846.1,20461.833,75336.986,500.171,2401.48,952.0,
10,102276.301,1844.34,20461.833,75404.766,491.403,2405.47,952.0,
11,101876.092,1668.25,20461.833,74981.228,487.907,2361.96,6.79,
12,101521.578,1668.26,20461.833,74635.561,492.534,2398.89,0.0,
13,101761.57,1728.12,20461.833,74900.205,467.88,3809.51,0.0,
14,101692.329,1661.35,20461.833,74845.877,501.266,2430.87,6.7,
15,101938.052,1828.41,20461.833,75097.443,489.252,2362.07,927.96,
