Date,Temperature_C
2022-01-01,-1.89
2022-01-02,-5.72
2022-01-03,-8.22
2022-01-04,-7.72
2022-01-05,-6.22
2022-01-06,-0.28
2022-01-07,-1.72
2022-01-08,-6.5
2022-01-09,-5.0
2022-01-10,-6.61
2022-01-11,-6.89
2022-01-12,-13.22
2022-01-13,-17.06
2022-01-14,0.28
2022-01-15,-2.33
2022-01-16,-3.22
2022-01-17,-4.5
2022-01-18,-1.72
2022-01-19,-7.89
2022-01-20,-4.33
2022-01-21,-3.17
2022-01-22,-6.39
2022-01-23,-4.22
2022-01-24,-5.78
2022-01-25,-10.28
2022-01-26,-9.0
2022-01-27,-6.5
2022-01-28,-7.78
2022-01-29,-5.89
2022-01-30,-4.5
2022-01-31,-3.61
2022-02-01,-1.22
2022-02-02,-3.22
2022-02-03,-5.22
2022-02-04,-5.0
2022-02-05,-7.28
2022-02-06,-9.67
2022-02-07,-4.0
2022-02-08,0.22
2022-02-09,-1.44
2022-02-10,-0.78
2022-02-11,0.39
2022-02-12,0.11
2022-02-13,-1.78
2022-02-14,-1.89
2022-02-15,-1.72
2022-02-16,-2.89
2022-02-17,-0.89
2022-02-18,2.28
2022-02-19,0.22
2022-02-20,1.28
2022-02-21,0.61
2022-02-22,1.72
2022-02-23,1.61
2022-02-24,-0.94
2022-02-25,-1.78
2022-02-26,-1.5
2022-02-27,0.89
2022-02-28,-4.72
2022-03-01,-4.89
2022-03-02,-1.33
2022-03-03,-0.72
2022-03-04,-2.72
2022-03-05,-0.89
2022-03-06,-6.5
2022-03-07,-1.22
2022-03-08,-4.83
2022-03-09,-8.72
2022-03-10,-12.28
2022-03-11,-7.89
2022-03-12,-4.67
2022-03-13,-2.83
2022-03-14,1.11
2022-03-15,-3.0
2022-03-16,-4.11
2022-03-17,-5.72
2022-03-18,-4.5
2022-03-19,-0.56
2022-03-20,0.0
2022-03-21,2.67
2022-03-22,4.56
2022-03-23,3.0
2022-03-24,3.61
2022-03-25,3.39
2022-03-26,5.11
2022-03-27,-2.89
2022-03-28,-7.22
2022-03-29,0.39
2022-03-30,-4.06
2022-03-31,-5.0
2022-04-01,-0.61
2022-04-02,-0.22
2022-04-03,-1.61
2022-04-04,-3.44
2022-04-05,-0.11
2022-04-06,1.22
2022-04-07,-1.0
2022-04-08,8.28
2022-04-09,6.11
2022-04-10,7.61
2022-04-11,5.56
2022-04-12,2.0
2022-04-13,2.61
2022-04-14,2.0
2022-04-15,4.72
2022-04-16,4.89
2022-04-17,0.39
2022-04-18,2.11
2022-04-19,4.39
2022-04-20,5.94
2022-04-21,8.61
2022-04-22,6.56
2022-04-23,8.33
2022-04-24,8.0
2022-04-25,9.0
2022-04-26,10.0
2022-04-27,7.94
2022-04-28,1.78
2022-04-29,1.17
2022-04-30,0.72
2022-05-01,3.11
2022-05-02,8.28
2022-05-03,8.0
2022-05-04,6.83
2022-05-05,0.72
2022-05-06,6.22
2022-05-07,10.22
2022-05-08,12.67
2022-05-09,7.0
2022-05-10,3.5
2022-05-11,8.06
2022-05-12,12.5
2022-05-13,9.83
2022-05-14,8.78
2022-05-15,8.72
2022-05-16,8.72
2022-05-17,6.83
2022-05-18,7.61
2022-05-19,7.83
2022-05-20,6.5
2022-05-21,7.11
2022-05-22,5.89
2022-05-23,2.39
2022-05-24,7.17
2022-05-25,3.89
2022-05-26,6.72
2022-05-27,9.61
2022-05-28,8.22
2022-05-29,7.94
2022-05-30,9.72
2022-05-31,15.22
2022-06-01,14.22
2022-06-02,13.0
2022-06-03,17.44
2022-06-04,11.0
2022-06-05,14.11
2022-06-06,10.83
2022-06-07,11.78
2022-06-08,14.22
2022-06-09,17.83
2022-06-10,18.0
2022-06-11,18.0
2022-06-12,18.0
2022-06-13,15.0
2022-06-14,15.0
2022-06-15,13.0
2022-06-16,13.39
2022-06-17,13.61
2022-06-18,11.72
2022-06-19,16.11
2022-06-20,13.33
2022-06-21,14.72
2022-06-22,14.44
2022-06-23,14.0
2022-06-24,16.0
2022-06-25,18.22
2022-06-26,20.56
2022-06-27,22.89
2022-06-28,22.0
2022-06-29,15.72
2022-06-30,14.0
2022-07-01,17.06
2022-07-02,14.39
2022-07-03,18.11
2022-07-04,19.5
2022-07-05,23.11
2022-07-06,18.94
2022-07-07,22.39
2022-07-08,16.33
2022-07-09,18.39
2022-07-10,17.11
2022-07-11,19.67
2022-07-12,22.22
2022-07-13,17.89
2022-07-14,16.0
2022-07-15,14.0
2022-07-16,11.0
2022-07-17,14.0
2022-07-18,14.72
2022-07-19,11.72
2022-07-20,13.11
2022-07-21,14.22
2022-07-22,16.28
2022-07-23,17.72
2022-07-24,20.56
2022-07-25,19.56
2022-07-26,18.72
2022-07-27,21.61
2022-07-28,22.28
2022-07-29,15.22
2022-07-30,14.0
2022-07-31,15.78
2022-08-01,17.61
2022-08-02,18.5
2022-08-03,20.28
2022-08-04,22.22
2022-08-05,22.0
2022-08-06,23.39
2022-08-07,23.28
2022-08-08,18.5
2022-08-09,16.28
2022-08-10,15.61
2022-08-11,15.72
2022-08-12,17.39
2022-08-13,18.56
2022-08-14,21.61
2022-08-15,21.22
2022-08-16,22.0
2022-08-17,21.22
2022-08-18,20.94
2022-08-19,21.61
2022-08-20,18.78
2022-08-21,18.11
2022-08-22,20.39
2022-08-23,22.56
2022-08-24,24.44
2022-08-25,24.28
2022-08-26,22.78
2022-08-27,23.94
2022-08-28,23.39
2022-08-29,22.22
2022-08-30,19.17
2022-08-31,16.0
2022-09-01,9.61
2022-09-02,7.22
2022-09-03,5.72
2022-09-04,8.0
2022-09-05,5.78
2022-09-06,7.89
2022-09-07,6.22
2022-09-08,7.89
2022-09-09,6.22
2022-09-10,6.5
2022-09-11,9.67
2022-09-12,9.67
2022-09-13,9.67
2022-09-14,10.0
2022-09-15,11.61
2022-09-16,10.72
2022-09-17,9.61
2022-09-18,8.0
2022-09-19,13.72
2022-09-20,10.72
2022-09-21,8.5
2022-09-22,10.0
2022-09-23,10.61
2022-09-24,8.78
2022-09-25,7.22
2022-09-26,6.78
2022-09-27,4.67
2022-09-28,7.78
2022-09-29,8.39
2022-09-30,10.39
2022-10-01,12.61
2022-10-02,11.72
2022-10-03,13.5
2022-10-04,10.61
2022-10-05,6.0
2022-10-06,6.89
2022-10-07,10.39
2022-10-08,8.72
2022-10-09,9.28
2022-10-10,9.22
2022-10-11,4.61
2022-10-12,4.22
2022-10-13,5.11
2022-10-14,3.0
2022-10-15,5.56
2022-10-16,4.67
2022-10-17,5.72
2022-10-18,7.78
2022-10-19,8.22
2022-10-20,5.89
2022-10-21,1.33
2022-10-22,4.44
2022-10-23,4.89
2022-10-24,5.22
2022-10-25,-0.28
2022-10-26,0.72
2022-10-27,1.89
2022-10-28,3.11
2022-10-29,9.0
2022-10-30,10.61
2022-10-31,-0.06
2022-11-01,-0.06
2022-11-02,1.44
2022-11-03,-1.56
2022-11-04,-2.44
2022-11-05,-0.28
2022-11-06,-1.17
2022-11-07,0.39
2022-11-08,2.61
2022-11-09,6.72
2022-11-10,8.72
2022-11-11,7.11
2022-11-12,8.0
2022-11-13,9.56
2022-11-14,0.72
2022-11-15,-0.94
2022-11-16,-2.61
2022-11-17,-3.61
2022-11-18,-6.72
2022-11-19,-11.0
2022-11-20,-3.17
2022-11-21,-2.83
2022-11-22,-4.11
2022-11-23,0.28
2022-11-24,-3.28
2022-11-25,-6.0
2022-11-26,-5.39
2022-11-27,-5.78
2022-11-28,-3.72
2022-11-29,-5.0
2022-11-30,-8.56
2022-12-01,-9.89
2022-12-02,-9.39
2022-12-03,-10.61
2022-12-04,-8.11
2022-12-05,-10.78
2022-12-06,-9.61
2022-12-07,-8.11
2022-12-08,-8.22
2022-12-09,-4.5
2022-12-10,-3.89
2022-12-11,-0.44
2022-12-12,2.78
2022-12-13,1.39
2022-12-14,-4.89
2022-12-15,-4.61
2022-12-16,-3.33
2022-12-17,-4.5
2022-12-18,-5.28
2022-12-19,-10.5
2022-12-20,-4.39
2022-12-21,-5.94
2022-12-22,0.5
2022-12-23,0.61
2022-12-24,1.78
2022-12-25,-1.33
2022-12-26,-4.17
2022-12-27,-6.61
2022-12-28,-1.06
2022-12-29,-1.72
2022-12-30,-1.28
2022-12-31,0.72
2023-01-01,0.89
2023-01-02,1.67
2023-01-03,-1.89
2023-01-04,-1.28
2023-01-05,-3.17
2023-01-06,-14.94
2023-01-07,-11.78
2023-01-08,-14.5
2023-01-09,-15.06
2023-01-10,-17.33
2023-01-11,-11.39
2023-01-12,-8.28
2023-01-13,-6.22
2023-01-14,-3.39
2023-01-15,-2.44
2023-01-16,-3.39
2023-01-17,-2.78
2023-01-18,-0.22
2023-01-19,1.22
2023-01-20,3.11
2023-01-21,0.78
2023-01-22,-5.0
2023-01-23,-3.0
2023-01-24,-2.5
2023-01-25,-1.39
2023-01-26,-3.22
2023-01-27,-3.39
2023-01-28,-2.78
2023-01-29,-3.83
2023-01-30,-3.0
2023-01-31,-1.78
2023-02-01,0.0
2023-02-02,-1.22
2023-02-03,-1.06
2023-02-04,-0.61
2023-02-05,-2.39
2023-02-06,-4.39
2023-02-07,-6.22
2023-02-08,-6.72
2023-02-09,-3.17
2023-02-10,-2.61
2023-02-11,-2.5
2023-02-12,-2.44
2023-02-13,-7.39
2023-02-14,0.39
2023-02-15,-2.33
2023-02-16,-4.78
2023-02-17,-6.72
2023-02-18,-8.44
2023-02-19,-7.39
2023-02-20,-6.5
2023-02-21,-10.5
2023-02-22,-15.39
2023-02-23,-14.28
2023-02-24,-8.5
2023-02-25,-2.72
2023-02-26,0.61
2023-02-27,-3.5
2023-02-28,-8.39
2023-03-01,-5.83
2023-03-02,-4.39
2023-03-03,-0.72
2023-03-04,-2.22
2023-03-05,-2.28
2023-03-06,-2.67
2023-03-07,-3.94
2023-03-08,-5.0
2023-03-09,-2.0
2023-03-10,-4.78
2023-03-11,-5.0
2023-03-12,2.56
2023-03-13,-5.11
2023-03-14,-2.89
2023-03-15,4.78
2023-03-16,3.0
2023-03-17,0.72
2023-03-18,-1.56
2023-03-19,-1.72
2023-03-20,-0.17
2023-03-21,2.83
2023-03-22,3.78
2023-03-23,5.11
2023-03-24,8.17
2023-03-25,5.28
2023-03-26,6.39
2023-03-27,3.22
2023-03-28,3.11
2023-03-29,5.78
2023-03-30,6.0
2023-03-31,-1.0
2023-04-01,0.61
